Source;Target;Value;GEO;Year;Tag
Public administration;RPP;10;Ontario;2010;Super-Sankey
Public administration;RPP;12;Ontario;2009;Super-Sankey
Public administration;RPP;7;Ontario;2008;Super-Sankey
Public administration;RPP;7;Ontario;2007;Super-Sankey
Public administration;RPP;9;Ontario;2006;Super-Sankey
Public administration;RPP;9;Ontario;2005;Super-Sankey
Public administration;RPP;8;Ontario;2004;Super-Sankey
Public administration;RPP;8;Ontario;2003;Super-Sankey
Public administration;RPP;6;Ontario;2002;Super-Sankey
Public administration;RPP;7;Ontario;2001;Super-Sankey
Public administration;RPP;7;Ontario;2000;Super-Sankey
Public administration;RPP;7;Ontario;1999;Super-Sankey
Public administration;RPP;7;Ontario;1998;Super-Sankey
Public administration;RPP;7;Ontario;1997;Super-Sankey
Public administration;RPP;8;Ontario;1996;Super-Sankey
Public administration;RPP;8;Ontario;1995;Super-Sankey
Public administration;RPP;12;Ontario;2014;Super-Sankey
Public administration;RPP;13;Ontario;2015;Super-Sankey
Public administration;RPP;14;Ontario;2016;Super-Sankey
Public administration;RPP;8;Quebec;2001;Super-Sankey
Public administration;RPP;16;Quebec;2005;Super-Sankey
Public administration;RPP;9;Quebec;2007;Super-Sankey
Public administration;RPP;8;Quebec;1997;Super-Sankey
Public administration;RPP;9;Quebec;2009;Super-Sankey
Public administration;RPP;8;Quebec;2011;Super-Sankey
Public administration;RPP;7;Quebec;1995;Super-Sankey
Public administration;RPP;6;Quebec;2015;Super-Sankey
Public administration;RPP;6;Quebec;2016;Super-Sankey
Public administration;RPP;6;Quebec;2014;Super-Sankey
Public administration;RPP;8;Quebec;2012;Super-Sankey
Public administration;RPP;8;Quebec;2010;Super-Sankey
Public administration;RPP;9;Quebec;2008;Super-Sankey
Public administration;RPP;15;Quebec;2006;Super-Sankey
Public administration;RPP;14;Quebec;2004;Super-Sankey
Public administration;RPP;13;Quebec;2003;Super-Sankey
Public administration;RPP;7;Quebec;2002;Super-Sankey
Public administration;RPP;9;Quebec;2000;Super-Sankey
Public administration;RPP;8;Quebec;1999;Super-Sankey
Public administration;RPP;7;Quebec;1998;Super-Sankey
Public administration;RPP;7;Quebec;1996;Super-Sankey
Public administration;RPP;8;Quebec;2013;Super-Sankey
Public administration;RPP;3;British Columbia;2016;Super-Sankey
Public administration;RPP;3;British Columbia;2015;Super-Sankey
Public administration;RPP;3;British Columbia;2014;Super-Sankey
Public administration;RPP;4;British Columbia;2013;Super-Sankey
Public administration;RPP;4;British Columbia;2012;Super-Sankey
Public administration;RPP;4;British Columbia;2011;Super-Sankey
Public administration;RPP;4;British Columbia;1997;Super-Sankey
Public administration;RPP;4;British Columbia;1995;Super-Sankey
Public administration;RPP;4;British Columbia;1996;Super-Sankey
Public administration;RPP;5;British Columbia;2008;Super-Sankey
Public administration;RPP;4;British Columbia;2010;Super-Sankey
Public administration;RPP;4;British Columbia;2009;Super-Sankey
Public administration;RPP;4;British Columbia;1999;Super-Sankey
Public administration;RPP;4;British Columbia;1998;Super-Sankey
Public administration;RPP;3;British Columbia;2000;Super-Sankey
Public administration;RPP;4;British Columbia;2003;Super-Sankey
Public administration;RPP;3;British Columbia;2002;Super-Sankey
Public administration;RPP;4;British Columbia;2005;Super-Sankey
Public administration;RPP;3;British Columbia;2004;Super-Sankey
Public administration;RPP;4;British Columbia;2007;Super-Sankey
Public administration;RPP;3;British Columbia;2001;Super-Sankey
Public administration;RPP;4;British Columbia;2006;Super-Sankey
Public administration;RPP;0;Yukon;2016;Super-Sankey
Public administration;RPP;1;Yukon;2012;Super-Sankey
Public administration;RPP;1;Yukon;2010;Super-Sankey
Public administration;RPP;1;Yukon;2008;Super-Sankey
Public administration;RPP;0;Yukon;2004;Super-Sankey
Public administration;RPP;1;Yukon;2002;Super-Sankey
Public administration;RPP;0;Yukon;2001;Super-Sankey
Public administration;RPP;0;Yukon;2000;Super-Sankey
Public administration;RPP;0;Yukon;1996;Super-Sankey
Public administration;RPP;0;Yukon;1997;Super-Sankey
Public administration;RPP;0;Yukon;1999;Super-Sankey
Public administration;RPP;1;Yukon;2003;Super-Sankey
Public administration;RPP;0;Yukon;2007;Super-Sankey
Public administration;RPP;0;Yukon;2006;Super-Sankey
Public administration;RPP;1;Yukon;2009;Super-Sankey
Public administration;RPP;0;Yukon;2005;Super-Sankey
Public administration;RPP;1;Yukon;2011;Super-Sankey
Public administration;RPP;0;Yukon;2015;Super-Sankey
Public administration;RPP;0;Yukon;1998;Super-Sankey
Public administration;RPP;0;Yukon;1995;Super-Sankey
Public administration;RPP;0;Yukon;2014;Super-Sankey
Public administration;RPP;1;Yukon;2013;Super-Sankey
Public administration;RPP;0;Northwest Territories;2002;Super-Sankey
Public administration;RPP;0;Northwest Territories;2010;Super-Sankey
Public administration;RPP;0;Northwest Territories;2014;Super-Sankey
Public administration;RPP;0;Northwest Territories;1998;Super-Sankey
Public administration;RPP;1;Northwest Territories;2016;Super-Sankey
Public administration;RPP;0;Northwest Territories;2015;Super-Sankey
Public administration;RPP;0;Northwest Territories;2013;Super-Sankey
Public administration;RPP;0;Northwest Territories;2012;Super-Sankey
Public administration;RPP;0;Northwest Territories;2011;Super-Sankey
Public administration;RPP;0;Northwest Territories;2009;Super-Sankey
Public administration;RPP;1;Northwest Territories;2008;Super-Sankey
Public administration;RPP;1;Northwest Territories;2007;Super-Sankey
Public administration;RPP;1;Northwest Territories;2006;Super-Sankey
Public administration;RPP;0;Northwest Territories;2005;Super-Sankey
Public administration;RPP;1;Northwest Territories;2004;Super-Sankey
Public administration;RPP;1;Northwest Territories;2003;Super-Sankey
Public administration;RPP;1;Northwest Territories;2001;Super-Sankey
Public administration;RPP;1;Northwest Territories;2000;Super-Sankey
Public administration;RPP;1;Northwest Territories;1999;Super-Sankey
Public administration;RPP;0;Northwest Territories;1997;Super-Sankey
Public administration;RPP;0;Northwest Territories;1996;Super-Sankey
Public administration;RPP;0;Northwest Territories;1995;Super-Sankey
Public administration;RPP;2;Yukon, Northwest Territories and Nunavut;1998;Super-Sankey
Public administration;RPP;2;Yukon, Northwest Territories and Nunavut;2013;Super-Sankey
Public administration;RPP;1;Yukon, Northwest Territories and Nunavut;2000;Super-Sankey
Public administration;RPP;3;Yukon, Northwest Territories and Nunavut;1996;Super-Sankey
Public administration;RPP;1;Yukon, Northwest Territories and Nunavut;2002;Super-Sankey
Public administration;RPP;1;Yukon, Northwest Territories and Nunavut;2006;Super-Sankey
Public administration;RPP;1;Yukon, Northwest Territories and Nunavut;2005;Super-Sankey
Public administration;RPP;1;Yukon, Northwest Territories and Nunavut;2004;Super-Sankey
Public administration;RPP;2;Yukon, Northwest Territories and Nunavut;2010;Super-Sankey
Public administration;RPP;2;Yukon, Northwest Territories and Nunavut;2012;Super-Sankey
Public administration;RPP;1;Yukon, Northwest Territories and Nunavut;2014;Super-Sankey
Public administration;RPP;1;Yukon, Northwest Territories and Nunavut;2016;Super-Sankey
Public administration;RPP;1;Yukon, Northwest Territories and Nunavut;2015;Super-Sankey
Public administration;RPP;2;Yukon, Northwest Territories and Nunavut;2011;Super-Sankey
Public administration;RPP;2;Yukon, Northwest Territories and Nunavut;2009;Super-Sankey
Public administration;RPP;2;Yukon, Northwest Territories and Nunavut;2008;Super-Sankey
Public administration;RPP;2;Yukon, Northwest Territories and Nunavut;2007;Super-Sankey
Public administration;RPP;2;Yukon, Northwest Territories and Nunavut;2003;Super-Sankey
Public administration;RPP;1;Yukon, Northwest Territories and Nunavut;2001;Super-Sankey
Public administration;RPP;1;Yukon, Northwest Territories and Nunavut;1999;Super-Sankey
Public administration;RPP;3;Yukon, Northwest Territories and Nunavut;1997;Super-Sankey
Public administration;RPP;5;Yukon, Northwest Territories and Nunavut;1995;Super-Sankey
Public administration;RPP;0;Nunavut;2015;Super-Sankey
Public administration;RPP;1;Nunavut;2013;Super-Sankey
Public administration;RPP;0;Nunavut;2012;Super-Sankey
Public administration;RPP;0;Nunavut;2011;Super-Sankey
Public administration;RPP;0;Nunavut;2009;Super-Sankey
Public administration;RPP;0;Nunavut;2008;Super-Sankey
Public administration;RPP;0;Nunavut;2007;Super-Sankey
Public administration;RPP;0;Nunavut;2005;Super-Sankey
Public administration;RPP;0;Nunavut;2004;Super-Sankey
Public administration;RPP;0;Nunavut;2003;Super-Sankey
Public administration;RPP;0;Nunavut;2001;Super-Sankey
Public administration;RPP;0;Nunavut;1999;Super-Sankey
Public administration;RPP;0;Nunavut;1995;Super-Sankey
Public administration;RPP;0;Nunavut;1996;Super-Sankey
Public administration;RPP;0;Nunavut;1998;Super-Sankey
Public administration;RPP;0;Nunavut;1997;Super-Sankey
Public administration;RPP;0;Nunavut;2006;Super-Sankey
Public administration;RPP;0;Nunavut;2010;Super-Sankey
Public administration;RPP;0;Nunavut;2014;Super-Sankey
Public administration;RPP;0;Nunavut;2016;Super-Sankey
Public administration;RPP;0;Nunavut;2002;Super-Sankey
Public administration;RPP;0;Nunavut;2000;Super-Sankey
Public administration;RPP;51;Canada;2015;Super-Sankey
Public administration;RPP;52;Canada;2013;Super-Sankey
Public administration;RPP;55;Canada;2009;Super-Sankey
Public administration;RPP;65;Canada;2005;Super-Sankey
Public administration;RPP;53;Canada;2001;Super-Sankey
Public administration;RPP;52;Canada;1999;Super-Sankey
Public administration;RPP;57;Canada;1997;Super-Sankey
Public administration;RPP;61;Canada;1995;Super-Sankey
Public administration;RPP;55;Canada;1996;Super-Sankey
Public administration;RPP;54;Canada;1998;Super-Sankey
Public administration;RPP;51;Canada;2002;Super-Sankey
Public administration;RPP;59;Canada;2003;Super-Sankey
Public administration;RPP;63;Canada;2004;Super-Sankey
Public administration;RPP;62;Canada;2006;Super-Sankey
Public administration;RPP;54;Canada;2012;Super-Sankey
Public administration;RPP;60;Canada;2011;Super-Sankey
Public administration;RPP;49;Canada;2014;Super-Sankey
Public administration;RPP;56;Canada;2010;Super-Sankey
Public administration;RPP;1;Canada;2016;Super-Sankey
Public administration;RPP;54;Canada;2007;Super-Sankey
Public administration;RPP;54;Canada;2008;Super-Sankey
Public administration;RPP;54;Canada;2000;Super-Sankey
Public administration;RPP;12;Atlantic provinces;2016;Super-Sankey
Public administration;RPP;13;Atlantic provinces;2015;Super-Sankey
Public administration;RPP;11;Atlantic provinces;2014;Super-Sankey
Public administration;RPP;12;Atlantic provinces;2013;Super-Sankey
Public administration;RPP;16;Atlantic provinces;2012;Super-Sankey
Public administration;RPP;22;Atlantic provinces;2011;Super-Sankey
Public administration;RPP;19;Atlantic provinces;2010;Super-Sankey
Public administration;RPP;18;Atlantic provinces;2009;Super-Sankey
Public administration;RPP;19;Atlantic provinces;2008;Super-Sankey
Public administration;RPP;21;Atlantic provinces;2007;Super-Sankey
Public administration;RPP;18;Atlantic provinces;2006;Super-Sankey
Public administration;RPP;21;Atlantic provinces;2005;Super-Sankey
Public administration;RPP;22;Atlantic provinces;2004;Super-Sankey
Public administration;RPP;21;Atlantic provinces;2003;Super-Sankey
Public administration;RPP;21;Atlantic provinces;2002;Super-Sankey
Public administration;RPP;22;Atlantic provinces;2001;Super-Sankey
Public administration;RPP;22;Atlantic provinces;2000;Super-Sankey
Public administration;RPP;21;Atlantic provinces;1999;Super-Sankey
Public administration;RPP;21;Atlantic provinces;1998;Super-Sankey
Public administration;RPP;23;Atlantic provinces;1997;Super-Sankey
Public administration;RPP;21;Atlantic provinces;1996;Super-Sankey
Public administration;RPP;23;Atlantic provinces;1995;Super-Sankey
Public administration;RPP;4;Newfoundland and Labrador;2016;Super-Sankey
Public administration;RPP;8;Newfoundland and Labrador;1998;Super-Sankey
Public administration;RPP;4;Newfoundland and Labrador;2015;Super-Sankey
Public administration;RPP;3;Newfoundland and Labrador;2014;Super-Sankey
Public administration;RPP;3;Newfoundland and Labrador;2013;Super-Sankey
Public administration;RPP;4;Newfoundland and Labrador;2012;Super-Sankey
Public administration;RPP;5;Newfoundland and Labrador;2011;Super-Sankey
Public administration;RPP;6;Newfoundland and Labrador;2010;Super-Sankey
Public administration;RPP;8;Newfoundland and Labrador;2005;Super-Sankey
Public administration;RPP;8;Newfoundland and Labrador;2004;Super-Sankey
Public administration;RPP;8;Newfoundland and Labrador;2003;Super-Sankey
Public administration;RPP;8;Newfoundland and Labrador;2002;Super-Sankey
Public administration;RPP;8;Newfoundland and Labrador;2001;Super-Sankey
Public administration;RPP;8;Newfoundland and Labrador;2000;Super-Sankey
Public administration;RPP;8;Newfoundland and Labrador;1999;Super-Sankey
Public administration;RPP;7;Newfoundland and Labrador;2006;Super-Sankey
Public administration;RPP;8;Newfoundland and Labrador;2007;Super-Sankey
Public administration;RPP;6;Newfoundland and Labrador;2008;Super-Sankey
Public administration;RPP;7;Newfoundland and Labrador;1995;Super-Sankey
Public administration;RPP;9;Newfoundland and Labrador;1997;Super-Sankey
Public administration;RPP;7;Newfoundland and Labrador;1996;Super-Sankey
Public administration;RPP;6;Newfoundland and Labrador;2009;Super-Sankey
Public administration;RPP;1;Prince Edward Island;2016;Super-Sankey
Public administration;RPP;0;Prince Edward Island;2015;Super-Sankey
Public administration;RPP;0;Prince Edward Island;2014;Super-Sankey
Public administration;RPP;0;Prince Edward Island;2013;Super-Sankey
Public administration;RPP;0;Prince Edward Island;2012;Super-Sankey
Public administration;RPP;1;Prince Edward Island;2011;Super-Sankey
Public administration;RPP;1;Prince Edward Island;2010;Super-Sankey
Public administration;RPP;0;Prince Edward Island;2009;Super-Sankey
Public administration;RPP;0;Prince Edward Island;2008;Super-Sankey
Public administration;RPP;0;Prince Edward Island;2007;Super-Sankey
Public administration;RPP;1;Prince Edward Island;2006;Super-Sankey
Public administration;RPP;1;Prince Edward Island;2005;Super-Sankey
Public administration;RPP;1;Prince Edward Island;2004;Super-Sankey
Public administration;RPP;1;Prince Edward Island;2003;Super-Sankey
Public administration;RPP;1;Prince Edward Island;2002;Super-Sankey
Public administration;RPP;1;Prince Edward Island;2001;Super-Sankey
Public administration;RPP;1;Prince Edward Island;2000;Super-Sankey
Public administration;RPP;1;Prince Edward Island;1999;Super-Sankey
Public administration;RPP;1;Prince Edward Island;1998;Super-Sankey
Public administration;RPP;1;Prince Edward Island;1997;Super-Sankey
Public administration;RPP;1;Prince Edward Island;1996;Super-Sankey
Public administration;RPP;1;Prince Edward Island;1995;Super-Sankey
Public administration;RPP;5;Nova Scotia;2016;Super-Sankey
Public administration;RPP;5;Nova Scotia;2015;Super-Sankey
Public administration;RPP;5;Nova Scotia;2014;Super-Sankey
Public administration;RPP;6;Nova Scotia;2012;Super-Sankey
Public administration;RPP;8;Nova Scotia;2011;Super-Sankey
Public administration;RPP;7;Nova Scotia;2010;Super-Sankey
Public administration;RPP;7;Nova Scotia;2008;Super-Sankey
Public administration;RPP;8;Nova Scotia;2007;Super-Sankey
Public administration;RPP;7;Nova Scotia;2006;Super-Sankey
Public administration;RPP;9;Nova Scotia;2004;Super-Sankey
Public administration;RPP;8;Nova Scotia;2002;Super-Sankey
Public administration;RPP;8;Nova Scotia;2000;Super-Sankey
Public administration;RPP;7;Nova Scotia;1999;Super-Sankey
Public administration;RPP;7;Nova Scotia;1998;Super-Sankey
Public administration;RPP;8;Nova Scotia;1996;Super-Sankey
Public administration;RPP;8;Nova Scotia;2009;Super-Sankey
Public administration;RPP;9;Nova Scotia;1995;Super-Sankey
Public administration;RPP;8;Nova Scotia;2001;Super-Sankey
Public administration;RPP;8;Nova Scotia;2005;Super-Sankey
Public administration;RPP;8;Nova Scotia;2003;Super-Sankey
Public administration;RPP;8;Nova Scotia;1997;Super-Sankey
Public administration;RPP;6;Nova Scotia;2013;Super-Sankey
Residential;NGL;7;Ontario;1995;Super-Sankey
Residential;NGL;11;Ontario;2016;Super-Sankey
Residential;NGL;8;Ontario;2015;Super-Sankey
Residential;NGL;8;Ontario;2014;Super-Sankey
Residential;NGL;9;Ontario;2013;Super-Sankey
Residential;NGL;13;Ontario;2012;Super-Sankey
Residential;NGL;11;Ontario;2011;Super-Sankey
Residential;NGL;9;Ontario;2010;Super-Sankey
Residential;NGL;9;Ontario;2009;Super-Sankey
Residential;NGL;10;Ontario;2008;Super-Sankey
Residential;NGL;9;Ontario;2007;Super-Sankey
Residential;NGL;8;Ontario;2006;Super-Sankey
Residential;NGL;7;Ontario;2005;Super-Sankey
Residential;NGL;5;Ontario;2004;Super-Sankey
Residential;NGL;5;Ontario;2003;Super-Sankey
Residential;NGL;5;Ontario;2002;Super-Sankey
Residential;NGL;5;Ontario;2001;Super-Sankey
Residential;NGL;5;Ontario;2000;Super-Sankey
Residential;NGL;5;Ontario;1999;Super-Sankey
Residential;NGL;6;Ontario;1998;Super-Sankey
Residential;NGL;7;Ontario;1997;Super-Sankey
Residential;NGL;8;Ontario;1996;Super-Sankey
Residential;NGL;0;New Brunswick;2016;Super-Sankey
Residential;NGL;0;New Brunswick;2015;Super-Sankey
Residential;NGL;0;New Brunswick;2014;Super-Sankey
Residential;NGL;0;New Brunswick;2013;Super-Sankey
Residential;NGL;0;New Brunswick;2012;Super-Sankey
Residential;NGL;0;New Brunswick;2011;Super-Sankey
Residential;NGL;0;New Brunswick;2010;Super-Sankey
Residential;NGL;0;New Brunswick;2009;Super-Sankey
Residential;NGL;0;New Brunswick;2008;Super-Sankey
Residential;NGL;0;New Brunswick;2007;Super-Sankey
Residential;NGL;0;New Brunswick;2006;Super-Sankey
Residential;NGL;0;New Brunswick;2005;Super-Sankey
Residential;NGL;0;New Brunswick;2004;Super-Sankey
Residential;NGL;0;New Brunswick;2003;Super-Sankey
Residential;NGL;0;New Brunswick;2002;Super-Sankey
Residential;NGL;1;New Brunswick;2001;Super-Sankey
Residential;NGL;1;New Brunswick;2000;Super-Sankey
Residential;NGL;1;New Brunswick;1999;Super-Sankey
Residential;NGL;1;New Brunswick;1998;Super-Sankey
Residential;NGL;1;New Brunswick;1997;Super-Sankey
Residential;NGL;1;New Brunswick;1996;Super-Sankey
Residential;NGL;1;New Brunswick;1995;Super-Sankey
Residential;NGL;1;Quebec;2001;Super-Sankey
Residential;NGL;1;Quebec;2005;Super-Sankey
Residential;NGL;2;Quebec;2013;Super-Sankey
Residential;NGL;2;Quebec;2016;Super-Sankey
Residential;NGL;2;Quebec;2015;Super-Sankey
Residential;NGL;2;Quebec;2014;Super-Sankey
Residential;NGL;1;Quebec;2012;Super-Sankey
Residential;NGL;1;Quebec;2011;Super-Sankey
Residential;NGL;1;Quebec;2010;Super-Sankey
Residential;NGL;1;Quebec;2009;Super-Sankey
Residential;NGL;1;Quebec;2008;Super-Sankey
Residential;NGL;1;Quebec;2007;Super-Sankey
Residential;NGL;1;Quebec;2006;Super-Sankey
Residential;NGL;1;Quebec;2004;Super-Sankey
Residential;NGL;1;Quebec;2003;Super-Sankey
Residential;NGL;1;Quebec;2002;Super-Sankey
Residential;NGL;1;Quebec;2000;Super-Sankey
Residential;NGL;1;Quebec;1999;Super-Sankey
Residential;NGL;1;Quebec;1998;Super-Sankey
Residential;NGL;1;Quebec;1997;Super-Sankey
Residential;NGL;1;Quebec;1996;Super-Sankey
Residential;NGL;1;Quebec;1995;Super-Sankey
Residential;NGL;0;Manitoba;2016;Super-Sankey
Residential;NGL;0;Manitoba;2015;Super-Sankey
Residential;NGL;0;Manitoba;2014;Super-Sankey
Residential;NGL;0;Manitoba;2013;Super-Sankey
Residential;NGL;0;Manitoba;2012;Super-Sankey
Residential;NGL;0;Manitoba;2011;Super-Sankey
Residential;NGL;0;Manitoba;2010;Super-Sankey
Residential;NGL;0;Manitoba;2009;Super-Sankey
Residential;NGL;0;Manitoba;2008;Super-Sankey
Residential;NGL;0;Manitoba;2007;Super-Sankey
Residential;NGL;0;Manitoba;2006;Super-Sankey
Residential;NGL;0;Manitoba;2005;Super-Sankey
Residential;NGL;0;Manitoba;2004;Super-Sankey
Residential;NGL;0;Manitoba;2003;Super-Sankey
Residential;NGL;0;Manitoba;2002;Super-Sankey
Residential;NGL;0;Manitoba;2001;Super-Sankey
Residential;NGL;0;Manitoba;2000;Super-Sankey
Residential;NGL;0;Manitoba;1999;Super-Sankey
Residential;NGL;0;Manitoba;1998;Super-Sankey
Residential;NGL;0;Manitoba;1997;Super-Sankey
Residential;NGL;0;Manitoba;1996;Super-Sankey
Residential;NGL;0;Manitoba;1995;Super-Sankey
Residential;NGL;1;Alberta;2006;Super-Sankey
Residential;NGL;2;Alberta;2010;Super-Sankey
Residential;NGL;1;Alberta;2016;Super-Sankey
Residential;NGL;2;Alberta;2015;Super-Sankey
Residential;NGL;2;Alberta;2014;Super-Sankey
Residential;NGL;2;Alberta;2013;Super-Sankey
Residential;NGL;2;Alberta;2012;Super-Sankey
Residential;NGL;2;Alberta;2011;Super-Sankey
Residential;NGL;1;Alberta;2009;Super-Sankey
Residential;NGL;1;Alberta;2008;Super-Sankey
Residential;NGL;1;Alberta;2007;Super-Sankey
Residential;NGL;1;Alberta;2005;Super-Sankey
Residential;NGL;1;Alberta;2004;Super-Sankey
Residential;NGL;2;Alberta;2003;Super-Sankey
Residential;NGL;2;Alberta;2002;Super-Sankey
Residential;NGL;2;Alberta;2001;Super-Sankey
Residential;NGL;2;Alberta;2000;Super-Sankey
Residential;NGL;2;Alberta;1999;Super-Sankey
Residential;NGL;2;Alberta;1998;Super-Sankey
Residential;NGL;2;Alberta;1997;Super-Sankey
Residential;NGL;2;Alberta;1996;Super-Sankey
Residential;NGL;2;Alberta;1995;Super-Sankey
Residential;NGL;0;Saskatchewan;2016;Super-Sankey
Residential;NGL;0;Saskatchewan;2015;Super-Sankey
Residential;NGL;0;Saskatchewan;2014;Super-Sankey
Residential;NGL;0;Saskatchewan;2013;Super-Sankey
Residential;NGL;0;Saskatchewan;2012;Super-Sankey
Residential;NGL;0;Saskatchewan;2011;Super-Sankey
Residential;NGL;0;Saskatchewan;2010;Super-Sankey
Residential;NGL;0;Saskatchewan;2009;Super-Sankey
Residential;NGL;0;Saskatchewan;2008;Super-Sankey
Residential;NGL;0;Saskatchewan;2007;Super-Sankey
Residential;NGL;0;Saskatchewan;2006;Super-Sankey
Residential;NGL;0;Saskatchewan;2005;Super-Sankey
Residential;NGL;0;Saskatchewan;2004;Super-Sankey
Residential;NGL;0;Saskatchewan;2003;Super-Sankey
Residential;NGL;1;Saskatchewan;2002;Super-Sankey
Residential;NGL;1;Saskatchewan;2001;Super-Sankey
Residential;NGL;0;Saskatchewan;2000;Super-Sankey
Residential;NGL;1;Saskatchewan;1999;Super-Sankey
Residential;NGL;1;Saskatchewan;1998;Super-Sankey
Residential;NGL;1;Saskatchewan;1997;Super-Sankey
Residential;NGL;1;Saskatchewan;1996;Super-Sankey
Residential;NGL;1;Saskatchewan;1995;Super-Sankey
Residential;NGL;1;British Columbia;2016;Super-Sankey
Residential;NGL;1;British Columbia;2015;Super-Sankey
Residential;NGL;1;British Columbia;2014;Super-Sankey
Residential;NGL;1;British Columbia;2013;Super-Sankey
Residential;NGL;1;British Columbia;2012;Super-Sankey
Residential;NGL;1;British Columbia;2011;Super-Sankey
Residential;NGL;1;British Columbia;2010;Super-Sankey
Residential;NGL;1;British Columbia;2009;Super-Sankey
Residential;NGL;2;British Columbia;2008;Super-Sankey
Residential;NGL;1;British Columbia;2007;Super-Sankey
Residential;NGL;1;British Columbia;2006;Super-Sankey
Residential;NGL;1;British Columbia;2005;Super-Sankey
Residential;NGL;1;British Columbia;2004;Super-Sankey
Residential;NGL;1;British Columbia;2003;Super-Sankey
Residential;NGL;1;British Columbia;2002;Super-Sankey
Residential;NGL;1;British Columbia;2001;Super-Sankey
Residential;NGL;1;British Columbia;2000;Super-Sankey
Residential;NGL;1;British Columbia;1999;Super-Sankey
Residential;NGL;1;British Columbia;1998;Super-Sankey
Residential;NGL;1;British Columbia;1997;Super-Sankey
Residential;NGL;1;British Columbia;1996;Super-Sankey
Residential;NGL;2;British Columbia;1995;Super-Sankey
Residential;NGL;0;Yukon, Northwest Territories and Nunavut;2014;Super-Sankey
Residential;NGL;0;Yukon, Northwest Territories and Nunavut;2015;Super-Sankey
Residential;NGL;0;Yukon, Northwest Territories and Nunavut;2013;Super-Sankey
Residential;NGL;0;Yukon, Northwest Territories and Nunavut;2012;Super-Sankey
Residential;NGL;0;Yukon, Northwest Territories and Nunavut;2011;Super-Sankey
Residential;NGL;0;Yukon, Northwest Territories and Nunavut;2010;Super-Sankey
Residential;NGL;0;Yukon, Northwest Territories and Nunavut;2009;Super-Sankey
Residential;NGL;0;Yukon, Northwest Territories and Nunavut;2008;Super-Sankey
Residential;NGL;0;Yukon, Northwest Territories and Nunavut;2007;Super-Sankey
Residential;NGL;0;Yukon, Northwest Territories and Nunavut;2006;Super-Sankey
Residential;NGL;0;Yukon, Northwest Territories and Nunavut;2005;Super-Sankey
Residential;NGL;0;Yukon, Northwest Territories and Nunavut;2004;Super-Sankey
Residential;NGL;0;Yukon, Northwest Territories and Nunavut;2003;Super-Sankey
Residential;NGL;0;Yukon, Northwest Territories and Nunavut;2002;Super-Sankey
Residential;NGL;0;Yukon, Northwest Territories and Nunavut;2001;Super-Sankey
Residential;NGL;0;Yukon, Northwest Territories and Nunavut;2000;Super-Sankey
Residential;NGL;0;Yukon, Northwest Territories and Nunavut;1999;Super-Sankey
Residential;NGL;0;Yukon, Northwest Territories and Nunavut;1998;Super-Sankey
Residential;NGL;0;Yukon, Northwest Territories and Nunavut;1997;Super-Sankey
Residential;NGL;0;Yukon, Northwest Territories and Nunavut;1996;Super-Sankey
Residential;NGL;0;Yukon, Northwest Territories and Nunavut;1995;Super-Sankey
Residential;NGL;0;Yukon, Northwest Territories and Nunavut;2016;Super-Sankey
Residential;NGL;0;Northwest Territories;2014;Super-Sankey
Residential;NGL;0;Northwest Territories;2007;Super-Sankey
Residential;NGL;0;Northwest Territories;2006;Super-Sankey
Residential;NGL;0;Northwest Territories;2005;Super-Sankey
Residential;NGL;0;Northwest Territories;2004;Super-Sankey
Residential;NGL;0;Northwest Territories;2003;Super-Sankey
Residential;NGL;0;Northwest Territories;2002;Super-Sankey
Residential;NGL;0;Northwest Territories;2001;Super-Sankey
Residential;NGL;0;Northwest Territories;2000;Super-Sankey
Residential;NGL;0;Northwest Territories;1999;Super-Sankey
Residential;NGL;0;Northwest Territories;1998;Super-Sankey
Residential;NGL;0;Northwest Territories;1997;Super-Sankey
Residential;NGL;0;Northwest Territories;1996;Super-Sankey
Residential;NGL;0;Northwest Territories;1995;Super-Sankey
Residential;NGL;0;Northwest Territories;2016;Super-Sankey
Residential;NGL;0;Northwest Territories;2015;Super-Sankey
Residential;NGL;0;Northwest Territories;2009;Super-Sankey
Residential;NGL;0;Northwest Territories;2010;Super-Sankey
Residential;NGL;0;Northwest Territories;2012;Super-Sankey
Residential;NGL;0;Northwest Territories;2011;Super-Sankey
Residential;NGL;0;Northwest Territories;2013;Super-Sankey
Residential;NGL;0;Northwest Territories;2008;Super-Sankey
Residential;NGL;0;Yukon;2016;Super-Sankey
Residential;NGL;0;Yukon;2013;Super-Sankey
Residential;NGL;0;Yukon;2012;Super-Sankey
Residential;NGL;0;Yukon;2015;Super-Sankey
Residential;NGL;0;Yukon;2011;Super-Sankey
Residential;NGL;0;Yukon;2010;Super-Sankey
Residential;NGL;0;Yukon;2009;Super-Sankey
Residential;NGL;0;Yukon;2008;Super-Sankey
Residential;NGL;0;Yukon;2007;Super-Sankey
Residential;NGL;0;Yukon;2006;Super-Sankey
Residential;NGL;0;Yukon;2005;Super-Sankey
Residential;NGL;0;Yukon;2004;Super-Sankey
Residential;NGL;0;Yukon;2003;Super-Sankey
Residential;NGL;0;Yukon;2002;Super-Sankey
Residential;NGL;0;Yukon;2001;Super-Sankey
Residential;NGL;0;Yukon;2000;Super-Sankey
Residential;NGL;0;Yukon;1999;Super-Sankey
